id,name
964,background
0,Haemorhous cassinii
1,Limpkin
2,Rupornis magnirostris
3,Blue Jay
4,Steller's Jay
5,Balearica regulorum
6,Vermilion Flycatcher
7,American Avocet
8,Ardeotis kori
9,Yellow-billed Magpie
10,Gray Jay
11,Antigone canadensis
12,Parkesia noveboracensis
13,Ardea herodias occidentalis
14,Sora
15,Anas platyrhynchos diazi
16,Gray Wagtail
17,Pacific-slope Flycatcher
18,Least Flycatcher
19,Buff-breasted Flycatcher
20,Willow Flycatcher
21,Hammond's Flycatcher
22,Cordilleran Flycatcher
23,Virginia Rail
24,Common Crane
25,Boat-tailed Grackle
26,Barnacle Goose
27,Cyanocorax yucatanicus
28,Green Jay
29,Wilson's Storm-Petrel
30,Quiscalus niger
31,Psilorhinus morio
32,Megarynchus pitangua
33,Gallinula tenebrosa
34,Gallus gallus domesticus
35,Numida meleagris
36,Junco hyemalis caniceps
37,Cassin's Kingbird
38,Eastern Kingbird
39,Scissor-tailed Flycatcher
40,Thick-billed Kingbird
41,Western Kingbird
42,Fork-tailed Flycatcher
43,Gallirallus australis
44,Calocitta formosa
45,Calocitta colliei
46,American Coot
47,Rose-throated Becard
48,Rough-legged Hawk
49,Cygnus atratus
50,Philesturnus rufusater
51,Great Black-backed Gull
52,Great Kiskadee
53,American Black Duck
54,Anthus novaeseelandiae novaeseelandiae
55,Eastern Phoebe
56,Black Phoebe
57,Masked Tityra
58,Dryocopus lineatus
59,Porphyrio melanotus
60,White-cheeked Pintail
61,Egretta novaehollandiae
62,Anas crecca carolinensis
63,Chukar
64,Least Grebe
65,Artemisiospiza belli
66,Gallus gallus
67,Pyrrhuloxia
68,Northern Cardinal
69,Lincoln's Sparrow
70,Pied-billed Grebe
71,Swamp Sparrow
72,Wild Turkey
73,Meleagris ocellata
74,Willow Ptarmigan
75,Black-chinned Sparrow
76,Pyrrhocorax graculus
77,Brewer's Sparrow
78,Mountain Bluebird
79,Field Sparrow
80,Anas superciliosa
81,Fox Sparrow
82,Greater Flamingo
83,Sylvia atricapilla
84,Bell's Vireo
85,Vireo plumbeus
86,Philadelphia Vireo
87,Yellow-throated Vireo
88,Red-eyed Vireo
89,Harris's Sparrow
90,Hutton's Vireo
91,White-throated Sparrow
92,Golden-crowned Sparrow
93,Emberiza citrinella
94,Barrow's Goldeneye
95,Reed Bunting
96,Warbling Vireo
97,Serinus serinus
98,Serinus mozambicus
99,Lophura leucomelanos
100,Euphonia elegantissima
101,Euphonia hirundinacea
102,Euphonia affinis
103,Tricolored Blackbird
104,Momotus lessonii
105,Zosterops japonicus
106,Pelagic Cormorant
107,Hooded Oriole
108,Audubon's Oriole
109,Motacilla aguimp
110,Anas superciliosa × platyrhynchos
111,Streak-backed Oriole
112,Altamira Oriole
113,Carduelis cannabina
114,Gray-cheeked Thrush
115,Amaurornis phoenicurus
116,Pavo cristatus
117,Rallus crepitans
118,Nestor meridionalis septentrionalis
119,Green-tailed Towhee
120,Spotted Towhee
121,Eastern Towhee
