class_index,class,height,width,scale by,Offset
0,ABBOTTS BABBLER,112,112,1,0
1,ABBOTTS BOOBY,112,112,1,0
2,ABYSSINIAN GROUND HORNBILL,112,112,1,0
3,AFRICAN CROWNED CRANE,112,112,1,0
4,AFRICAN EMERALD CUCKOO,112,112,1,0
5,AFRICAN FIREFINCH,112,112,1,0
6,AFRICAN OYSTER CATCHER,112,112,1,0
7,ALBATROSS,112,112,1,0
8,ALBERTS TOWHEE,112,112,1,0
9,ALEXANDRINE PARAKEET,112,112,1,0
10,ALPINE CHOUGH,112,112,1,0
11,ALTAMIRA YELLOWTHROAT,112,112,1,0
12,AMERICAN AVOCET,112,112,1,0
13,AMERICAN BITTERN,112,112,1,0
14,AMERICAN COOT,112,112,1,0
15,AMERICAN GOLDFINCH,112,112,1,0
16,AMERICAN KESTREL,112,112,1,0
17,AMERICAN PIPIT,112,112,1,0
18,AMERICAN REDSTART,112,112,1,0
19,AMETHYST WOODSTAR,112,112,1,0
20,ANDEAN GOOSE,112,112,1,0
21,ANDEAN LAPWING,112,112,1,0
22,ANDEAN SISKIN,112,112,1,0
23,ANHINGA,112,112,1,0
24,ANIANIAU,112,112,1,0
25,ANNAS HUMMINGBIRD,112,112,1,0
26,ANTBIRD,112,112,1,0
27,ANTILLEAN EUPHONIA,112,112,1,0
28,APAPANE,112,112,1,0
29,APOSTLEBIRD,112,112,1,0
30,ARARIPE MANAKIN,112,112,1,0
31,ASHY THRUSHBIRD,112,112,1,0
32,ASIAN CRESTED IBIS,112,112,1,0
33,AVADAVAT,112,112,1,0
34,AZURE JAY,112,112,1,0
35,AZURE TANAGER,112,112,1,0
36,AZURE TIT,112,112,1,0
37,BAIKAL TEAL,112,112,1,0
38,BALD EAGLE,112,112,1,0
39,BALD IBIS,112,112,1,0
40,BALI STARLING,112,112,1,0
41,BALTIMORE ORIOLE,112,112,1,0
42,BANANAQUIT,112,112,1,0
43,BAND TAILED GUAN,112,112,1,0
44,BANDED BROADBILL,112,112,1,0
45,BANDED PITA,112,112,1,0
46,BANDED STILT,112,112,1,0
47,BAR-TAILED GODWIT,112,112,1,0
48,BARN OWL,112,112,1,0
49,BARN SWALLOW,112,112,1,0
50,BARRED PUFFBIRD,112,112,1,0
51,BARROWS GOLDENEYE,112,112,1,0
52,BAY-BREASTED WARBLER,112,112,1,0
53,BEARDED BARBET,112,112,1,0
54,BEARDED BELLBIRD,112,112,1,0
55,BEARDED REEDLING,112,112,1,0
56,BELTED KINGFISHER,112,112,1,0
57,BIRD OF PARADISE,112,112,1,0
58,BLACK & YELLOW  BROADBILL,112,112,1,0
59,BLACK BAZA,112,112,1,0
60,BLACK COCKATO,112,112,1,0
61,BLACK FRANCOLIN,112,112,1,0
62,BLACK SKIMMER,112,112,1,0
63,BLACK SWAN,112,112,1,0
64,BLACK TAIL CRAKE,112,112,1,0
65,BLACK THROATED BUSHTIT,112,112,1,0
66,BLACK THROATED WARBLER,112,112,1,0
67,BLACK VULTURE,112,112,1,0
68,BLACK-CAPPED CHICKADEE,112,112,1,0
69,BLACK-NECKED GREBE,112,112,1,0
70,BLACK-THROATED SPARROW,112,112,1,0
71,BLACKBURNIAM WARBLER,112,112,1,0
72,BLONDE CRESTED WOODPECKER,112,112,1,0
73,BLUE COAU,112,112,1,0
74,BLUE GROUSE,112,112,1,0
75,BLUE HERON,112,112,1,0
76,BLUE THROATED TOUCANET,112,112,1,0
77,BOBOLINK,112,112,1,0
78,BORNEAN BRISTLEHEAD,112,112,1,0
79,BORNEAN LEAFBIRD,112,112,1,0
80,BORNEAN PHEASANT,112,112,1,0
81,BRANDT CORMARANT,112,112,1,0
82,BROWN CREPPER,112,112,1,0
83,BROWN NOODY,112,112,1,0
84,BROWN THRASHER,112,112,1,0
85,BULWERS PHEASANT,112,112,1,0
86,BUSH TURKEY,112,112,1,0
87,CACTUS WREN,112,112,1,0
88,CALIFORNIA CONDOR,112,112,1,0
89,CALIFORNIA GULL,112,112,1,0
90,CALIFORNIA QUAIL,112,112,1,0
91,CANARY,112,112,1,0
92,CAPE GLOSSY STARLING,112,112,1,0
93,CAPE LONGCLAW,112,112,1,0
94,CAPE MAY WARBLER,112,112,1,0
95,CAPE ROCK THRUSH,112,112,1,0
96,CAPPED HERON,112,112,1,0
97,CAPUCHINBIRD,112,112,1,0
98,CARMINE BEE-EATER,112,112,1,0
99,CASPIAN TERN,112,112,1,0
100,CASSOWARY,112,112,1,0
101,CEDAR WAXWING,112,112,1,0
102,CERULEAN WARBLER,112,112,1,0
103,CHARA DE COLLAR,112,112,1,0
104,CHATTERING LORY,112,112,1,0
105,CHESTNET BELLIED EUPHONIA,112,112,1,0
106,CHINESE BAMBOO PARTRIDGE,112,112,1,0
107,CHINESE POND HERON,112,112,1,0
108,CHIPPING SPARROW,112,112,1,0
109,CHUCAO TAPACULO,112,112,1,0
110,CHUKAR PARTRIDGE,112,112,1,0
111,CINNAMON ATTILA,112,112,1,0
112,CINNAMON FLYCATCHER,112,112,1,0
113,CINNAMON TEAL,112,112,1,0
114,CLARKS NUTCRACKER,112,112,1,0
115,COCK OF THE  ROCK,112,112,1,0
116,COCKATOO,112,112,1,0
117,COLLARED ARACARI,112,112,1,0
118,COMMON FIRECREST,112,112,1,0
119,COMMON GRACKLE,112,112,1,0
120,COMMON HOUSE MARTIN,112,112,1,0
121,COMMON IORA,112,112,1,0
122,COMMON LOON,112,112,1,0
123,COMMON POORWILL,112,112,1,0
124,COMMON STARLING,112,112,1,0
125,COPPERY TAILED COUCAL,112,112,1,0
126,CRAB PLOVER,112,112,1,0
127,CRANE HAWK,112,112,1,0
128,CREAM COLORED WOODPECKER,112,112,1,0
129,CRESTED AUKLET,112,112,1,0
130,CRESTED CARACARA,112,112,1,0
131,CRESTED COUA,112,112,1,0
132,CRESTED FIREBACK,112,112,1,0
133,CRESTED KINGFISHER,112,112,1,0
134,CRESTED NUTHATCH,112,112,1,0
135,CRESTED OROPENDOLA,112,112,1,0
136,CRESTED SHRIKETIT,112,112,1,0
137,CRIMSON CHAT,112,112,1,0
138,CRIMSON SUNBIRD,112,112,1,0
139,CROW,112,112,1,0
140,CROWNED PIGEON,112,112,1,0
141,CUBAN TODY,112,112,1,0
142,CUBAN TROGON,112,112,1,0
143,CURL CRESTED ARACURI,112,112,1,0
144,D-ARNAUDS BARBET,112,112,1,0
145,DARK EYED JUNCO,112,112,1,0
146,DEMOISELLE CRANE,112,112,1,0
147,DOUBLE BARRED FINCH,112,112,1,0
148,DOUBLE BRESTED CORMARANT,112,112,1,0
149,DOUBLE EYED FIG PARROT,112,112,1,0
150,DOWNY WOODPECKER,112,112,1,0
151,DUSKY LORY,112,112,1,0
152,EARED PITA,112,112,1,0
153,EASTERN BLUEBIRD,112,112,1,0
154,EASTERN GOLDEN WEAVER,112,112,1,0
155,EASTERN MEADOWLARK,112,112,1,0
156,EASTERN ROSELLA,112,112,1,0
157,EASTERN TOWEE,112,112,1,0
158,ELEGANT TROGON,112,112,1,0
159,ELLIOTS  PHEASANT,112,112,1,0
160,EMERALD TANAGER,112,112,1,0
161,EMPEROR PENGUIN,112,112,1,0
162,EMU,112,112,1,0
163,ENGGANO MYNA,112,112,1,0
164,EURASIAN GOLDEN ORIOLE,112,112,1,0
165,EURASIAN MAGPIE,112,112,1,0
166,EUROPEAN GOLDFINCH,112,112,1,0
167,EUROPEAN TURTLE DOVE,112,112,1,0
168,EVENING GROSBEAK,112,112,1,0
169,FAIRY BLUEBIRD,112,112,1,0
170,FAIRY TERN,112,112,1,0
171,FIORDLAND PENGUIN,112,112,1,0
172,FIRE TAILLED MYZORNIS,112,112,1,0
173,FLAME BOWERBIRD,112,112,1,0
174,FLAME TANAGER,112,112,1,0
175,FLAMINGO,112,112,1,0
176,FRIGATE,112,112,1,0
177,GAMBELS QUAIL,112,112,1,0
178,GANG GANG COCKATOO,112,112,1,0
179,GILA WOODPECKER,112,112,1,0
180,GILDED FLICKER,112,112,1,0
181,GLOSSY IBIS,112,112,1,0
182,GO AWAY BIRD,112,112,1,0
183,GOLD WING WARBLER,112,112,1,0
