id,name
0,ABBOTTS BABBLER
1,ABBOTTS BOOBY
2,ABYSSINIAN GROUND HORNBILL
3,AFRICAN CROWNED CRANE
4,AFRICAN EMERALD CUCKOO
5,AFRICAN FIREFINCH
6,AFRICAN OYSTER CATCHER
7,ALBATROSS
8,ALBERTS TOWHEE
9,ALEXANDRINE PARAKEET
10,ALPINE CHOUGH
11,ALTAMIRA YELLOWTHROAT
12,AMERICAN AVOCET
13,AMERICAN BITTERN
14,AMERICAN COOT
15,AMERICAN GOLDFINCH
16,AMERICAN KESTREL
17,AMERICAN PIPIT
18,AMERICAN REDSTART
19,AMETHYST WOODSTAR
20,ANDEAN GOOSE
21,ANDEAN LAPWING
22,ANDEAN SISKIN
23,ANHINGA
24,ANIANIAU
25,ANNAS HUMMINGBIRD
26,ANTBIRD
27,ANTILLEAN EUPHONIA
28,APAPANE
29,APOSTLEBIRD
30,ARARIPE MANAKIN
31,ASHY THRUSHBIRD
32,ASIAN CRESTED IBIS
33,AVADAVAT
34,AZURE JAY
35,AZURE TANAGER
36,AZURE TIT
37,BAIKAL TEAL
38,BALD EAGLE
39,BALD IBIS
40,BALI STARLING
41,BALTIMORE ORIOLE
42,BANANAQUIT
43,BAND TAILED GUAN
44,BANDED BROADBILL
45,BANDED PITA
46,BANDED STILT
47,BAR-TAILED GODWIT
48,BARN OWL
49,BARN SWALLOW
50,BARRED PUFFBIRD
51,BARROWS GOLDENEYE
52,BAY-BREASTED WARBLER
53,BEARDED BARBET
54,BEARDED BELLBIRD
55,BEARDED REEDLING
56,BELTED KINGFISHER
57,BIRD OF PARADISE
58,BLACK & YELLOW  BROADBILL
59,BLACK BAZA
60,BLACK COCKATO
61,BLACK FRANCOLIN
62,BLACK SKIMMER
63,BLACK SWAN
64,BLACK TAIL CRAKE
65,BLACK THROATED BUSHTIT
66,BLACK THROATED WARBLER
67,BLACK VULTURE
68,BLACK-CAPPED CHICKADEE
69,BLACK-NECKED GREBE
70,BLACK-THROATED SPARROW
71,BLACKBURNIAM WARBLER
72,BLONDE CRESTED WOODPECKER
73,BLUE COAU
74,BLUE GROUSE
75,BLUE HERON
76,BLUE THROATED TOUCANET
77,BOBOLINK
78,BORNEAN BRISTLEHEAD
79,BORNEAN LEAFBIRD
80,BORNEAN PHEASANT
81,BRANDT CORMARANT
82,BROWN CREPPER
83,BROWN NOODY
84,BROWN THRASHER
85,BULWERS PHEASANT
86,BUSH TURKEY
87,CACTUS WREN
88,CALIFORNIA CONDOR
89,CALIFORNIA GULL
90,CALIFORNIA QUAIL
91,CANARY
92,CAPE GLOSSY STARLING
93,CAPE LONGCLAW
94,CAPE MAY WARBLER
95,CAPE ROCK THRUSH
96,CAPPED HERON
97,CAPUCHINBIRD
98,CARMINE BEE-EATER
99,CASPIAN TERN
100,CASSOWARY
101,CEDAR WAXWING
102,CERULEAN WARBLER
103,CHARA DE COLLAR
104,CHATTERING LORY
105,CHESTNET BELLIED EUPHONIA
106,CHINESE BAMBOO PARTRIDGE
107,CHINESE POND HERON
108,CHIPPING SPARROW
109,CHUCAO TAPACULO
110,CHUKAR PARTRIDGE
111,CINNAMON ATTILA
112,CINNAMON FLYCATCHER
113,CINNAMON TEAL
114,CLARKS NUTCRACKER
115,COCK OF THE  ROCK
116,COCKATOO
117,COLLARED ARACARI
118,COMMON FIRECREST
119,COMMON GRACKLE
120,COMMON HOUSE MARTIN
121,COMMON IORA
122,COMMON LOON
123,COMMON POORWILL
124,COMMON STARLING
125,COPPERY TAILED COUCAL
126,CRAB PLOVER
127,CRANE HAWK
128,CREAM COLORED WOODPECKER
129,CRESTED AUKLET
130,CRESTED CARACARA
131,CRESTED COUA
132,CRESTED FIREBACK
133,CRESTED KINGFISHER
134,CRESTED NUTHATCH
135,CRESTED OROPENDOLA
136,CRESTED SHRIKETIT
137,CRIMSON CHAT
138,CRIMSON SUNBIRD
139,CROW
140,CROWNED PIGEON
141,CUBAN TODY
142,CUBAN TROGON
143,CURL CRESTED ARACURI
144,D-ARNAUDS BARBET
145,DARK EYED JUNCO
146,DEMOISELLE CRANE
147,DOUBLE BARRED FINCH
148,DOUBLE BRESTED CORMARANT
149,DOUBLE EYED FIG PARROT
150,DOWNY WOODPECKER
151,DUSKY LORY
152,EARED PITA
153,EASTERN BLUEBIRD
154,EASTERN GOLDEN WEAVER
155,EASTERN MEADOWLARK
156,EASTERN ROSELLA
157,EASTERN TOWEE
158,ELEGANT TROGON
159,ELLIOTS  PHEASANT
160,EMERALD TANAGER
161,EMPEROR PENGUIN
162,EMU
163,ENGGANO MYNA
164,EURASIAN GOLDEN ORIOLE
165,EURASIAN MAGPIE
166,EUROPEAN GOLDFINCH
167,EUROPEAN TURTLE DOVE
